IMGT_gene_name,IMGT_gene_order,IMGT_gene_orientation_in_locus
TRBV1,1,direct
TRBV2,2,direct
TRBV3-1,3,direct
TRBV4-1,4,direct
TRBV5-1,5,direct
TRBV6-1,6,direct
TRBV7-1,7,direct
TRBV4-2,8,direct
TRBV6-2,9,direct
TRBV3-2,10,direct
TRBV4-3,11,direct
TRBV6-3,12,direct
TRBV7-2,13,direct
TRBV8-1,14,direct
TRBV5-2,15,direct
TRBV6-4,16,direct
TRBV7-3,17,direct
TRBV8-2,18,direct
TRBV5-3,19,direct
TRBV9,20,direct
TRBV10-1,21,direct
TRBV11-1,22,direct
TRBV12-1,23,direct
TRBV10-2,24,direct
TRBV11-2,25,direct
TRBV12-2,26,direct
TRBV6-5,27,direct
TRBV7-4,28,direct
TRBV5-4,29,direct
TRBV6-6,30,direct
TRBV7-5,31,direct
TRBV5-5,32,direct
TRBV6-7,33,direct
TRBV7-6,34,direct
TRBV5-6,35,direct
TRBV6-8,36,direct
TRBV7-7,37,direct
TRBV5-7,38,direct
TRBV6-9,39,direct
TRBV7-8,40,direct
TRBV5-8,41,direct
TRBV7-9,42,direct
TRBV13,43,direct
TRBV10-3,44,direct
TRBV11-3,45,direct
TRBV12-3,46,direct
TRBV12-4,47,direct
TRBV12-5,48,direct
TRBV14,49,direct
TRBV15,50,direct
TRBV16,51,direct
TRBV17,52,direct
TRBV18,53,direct
TRBV19,54,direct
TRBV20-1,55,direct
TRBV21-1,56,direct
TRBV22-1,57,direct
TRBV23-1,58,direct
TRBV24-1,59,direct
TRBV25-1,60,direct
TRBVA,61,direct
TRBV26,62,direct
TRBVB,63,direct
TRBV27,64,direct
TRBVC,65,opposite
TRBV28,66,direct
TRBV29-1,67,direct
T4,68,direct
T5,69,direct
T6,70,direct
T7,71,direct
T8,72,direct
TRBD1,73,direct
TRBJ1-1,74,direct
TRBJ1-2,75,direct
TRBJ1-3,76,direct
TRBJ1-4,77,direct
TRBJ1-5,78,direct
TRBJ1-6,79,direct
TRBC1,80,direct
TRBD2,81,direct
TRBJ2-1,82,direct
TRBJ2-2,83,direct
TRBJ2-2P,84,direct
TRBJ2-3,85,direct
TRBJ2-4,86,direct
TRBJ2-5,87,direct
TRBJ2-6,88,direct
TRBJ2-7,89,direct
TRBC2,90,direct
TRBV30,91,opposite
