IMGTgenename	IMGTgeneorder
IGHV1-NL1	0
IGHV3-NL1	0
IGHV7-NL1	0
IGHV(III)-82	1
IGHV7-81	2
IGHV4-80	3
IGHV3-79	4
IGHV(II)-78-1	5
IGHV5-78	6
IGHV7-77	7
IGHV(III)-76-1	8
IGHV3-76	9
IGHV3-75	10
IGHV(II)-74-1	11
IGHV3-74	12
IGHV3-73	13
IGHV3-72	14
IGHV3-71	15
IGHV2-70	16
IGHV1-69D	17
IGHV1-68D	18
IGHV(III)-67-4D	19
IGHV(III)-67-3D	20
IGHV1-69-2	21
IGHV3-69-1	22
IGHV2-70D	23
IGHV1-69	24
IGHV1-68	25
IGHV(III)-67-4	26
IGHV(III)-67-3	27
IGHV(III)-67-2	28
IGHV(II)-67-1	29
SLC20A1P1 (GLVR1)	30
IGHV1-67	31
IGHV3-66	32
IGHV(II)-65-1	33
IGHV3-65	34
IGHV3-64	35
GOLGA4P3 (Golgin)	36
IGHV3-63	37
IGHV(II)-62-1	38
IGHV3-62	39
IGHV4-61	40
IGHV(II)-60-1	41
IGHV3-60	42
IGHV4-59	43
IGHV1-58	44
IGHV3-57	45
IGHV7-56	46
IGHV4-55	47
IGHV3-54	48
IGHV(II)-53-1	49
IGHV3-53	50
IGHV3-52	51
IGHV(II)-51-2	52
IGHV3-51-1	53
IGHV5-51	54
IGHV3-50	55
IGHV(II)-49-1	56
IGHV3-49	57
IGHV3-48	58
IGHV(III)-47-1	59
IGHV3-47	60
IGHV(II)-46-1	61
IGHV1-46	62
IGHV1-45	63
IGHV(II)-44-2	64
IGHV(IV)-44-1	65
IGHV(III)-44	66
IGHV(II)-43-1	67
IGHV3-43	68
IGHV3-42	69
IGHV3-41	70
IGHV(II)-40-1	71
IGHV7-40	72
IGHV4-39	73
IGHV1-38-4	74
IGHV(III)-38-1D	75
IGHV3-38-3	76
IGHV(III)-44D	77
IGHV(II)-43-1D	78
IGHV3-43D	79
IGHV3-42D	80
IGHV7-40D	81
IGHV4-38-2	82
IGHV(III)-38-1	83
IGHV3-38	84
IGHV3-37	85
IGHV3-36	86
IGHV3-35	87
IGHV7-34-1	88
IGHV4-34	89
IGHV3-33-2	90
IGHV(II)-33-1	91
IGHV3-33	92
GOLGA4P1 (Golgin)	93
IGHV3-32	94
IGHV(II)-31-1	95
IGHV4-31	96
IGHV3-30-52	97
IGHV(II)-30-51	98
IGHV3-30-5	99
IGHV3-30-42	100
IGHV(II)-30-41	101
IGHV4-30-4	102
IGHV3-30-33	103
IGHV(II)-30-32	104
IGHV3-30-3	105
IGHV3-30-22	106
IGHV(II)-30-21	107
IGHV4-30-2	108
IGHV4-30-1	109
IGHV3-30-2	110
IGHV(II)-30-1	111
IGHV3-30	112
GOLGA4P2 (Golgin)	113
IGHV3-29	114
IGHV(II)-28-1	115
IGHV4-28	116
IGHV7-27	117
IGHV(II)-26-2	118
IGHV(III)-26-1	119
IGHV2-26	120
IGHV(III)-25-1	121
IGHV3-25	122
IGHV1-24	123
IGHV3-23D	124
IGHV(III)-22-2D	125
IGHV(II)-22-1D	126
IGHV3-23	127
IGHV(III)-22-2	128
IGHV(II)-22-1	129
IGHV3-22	130
IGHV3-21	131
IGHV(II)-20-1	132
IGHV3-20	133
IGHV3-19	134
IGHV1-18	135
SLC20A1P2	136
IGHV1-17	137
IGHV(III)-16-1	138
IGHV3-16	139
IGHV(II)-15-1	140
IGHV3-15	141
IGHV1-14	142
IGHV(III)-13-1	143
IGHV3-13	144
IGHV1-12	145
IGHV(III)-11-1	146
IGHV3-11	147
IGHV2-10	148
IGHV3-9	149
IGHV1-8	150
IGHV5-10-1	151
IGHV3-64D	152
IGHV3-7	153
IGHV3-6	154
IGHV(III)-5-2	155
IGHV(III)-5-1	156
IGHV2-5	157
IGHV7-4-1	158
IGHV4-4	159
IGHV1-3	160
IGHV(III)-2-1	161
IGHV1-2	162
IGHV(II)-1-1	165
IGHV6-1	166
