IMGT gene name	IMGT gene order
IGKV1-NL1	0
IGKV3D-7	1
IGKV1D-8	2
IGKV1D-43	3
IGKV1D-42	4
IGKV2D-10	5
IGKV3D-11	6
IGKV1D-12	7
IGKV1D-13	8
IGKV2D-14	9
IGKV3D-15	10
IGKV1D-16	11
IGKV1D-17	12
IGKV6D-41	13
IGKV2D-18	14
IGKV2D-19	15
IGKV3D-20	16
IGKV6D-21	17
IGKV1D-22	18
IGKV2D-23	19
IGKV2D-24	20
IGKV3D-25	21
IGKV2D-26	22
IGKV1D-27	23
IGKV2D-28	24
IGKV2D-29	25
IGKV2D-30	26
IGKV3D-31	27
IGKV1D-32	28
IGKV1D-33	29
IGKV3D-34	30
IGKV1D-35	31
IGKV2D-36	32
IGKV1D-37	33
IGKV2D-38	34
IGKV1D-39	35
IGKV2D-40	36
IGKV2-40	37
IGKV1-39	38
IGKV2-38	39
IGKV1-37	40
IGKV2-36	41
IGKV1-35	42
IGKV3-34	43
IGKV1-33	44
IGKV1-32	45
IGKV3-31	46
IGKV2-30	47
IGKV2-29	48
IGKV2-28	49
IGKV1-27	50
IGKV2-26	51
IGKV3-25	52
IGKV2-24	53
IGKV2-23	54
IGKV1-22	55
IGKV6-21	56
IGKV3-20	57
IGKV2-19	58
IGKV2-18	59
IGKV1-17	60
IGKV1-16	61
IGKV3-15	62
IGKV2-14	63
IGKV1-13	64
IGKV1-12	65
IGKV3-11	66
IGKV2-10	67
IGKV1-9	68
IGKV1-8	69
IGKV3-7	70
IGKV1-6	71
IGKV1-5	72
IGKV2-4	73
IGKV7-3	74
IGKV5-2	75
IGKV4-1	76
